Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
Capture,Subunit,Capture,Wireless Controller,,,,,No,,4.1%,-23.25 dB,24.00 dB,0.75 dB,1,-3.00 dB,4.1%,{2}.\\?\usb#vid_054c&pid_09cc&mi_00#6&2f2f7726&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,Wireless Controller\Subunit\Capture,,,,,,
Headset Earphone,Device,Render,Wireless Controller,,,,Active,No,-1.00 dB,100.0%,-73.00 dB,-1.00 dB,1.00 dB,1,-1.00 dB,100.0%,{0.0.0.00000000}.{c34d0aa0-1442-4bb4-bfd7-061608193b4d},Wireless Controller\Device\Headset Earphone\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{c34d0aa0-1442-4bb4-bfd7-061608193b4d},0x0 0x0 0x0,
Headset Microphone,Device,Capture,Wireless Controller,,,,Active,No,-3.00 dB,38.3%,-23.25 dB,24.00 dB,0.75 dB,1,-3.00 dB,38.3%,{0.0.1.00000000}.{a5e1598b-f63b-444a-83b5-407ec55cc332},Wireless Controller\Device\Headset Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{a5e1598b-f63b-444a-83b5-407ec55cc332},,"1 Channel, 16 bit, 16000 Hz"
Mi TV -2,Device,Render,Intel(R) Display Audio,,,,Active,No,-13.89 dB,40.0%,-96.00 dB,0.00 dB,1.50 dB,2,"-13.89 dB, -13.89 dB","40.0%, 40.0%",{0.0.0.00000000}.{56877411-9f60-4991-b8af-1d86ae24c6be},Intel(R) Display Audio\Device\Mi TV -2\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{56877411-9f60-4991-b8af-1d86ae24c6be},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Microphone,Subunit,Render,Realtek High Definition Audio,,,,,No,,12.8%,-65.25 dB,0.00 dB,0.03 dB,2,"-17.81 dB, -17.81 dB","12.8%, 12.8%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0269&subsys_10ec129e&rev_1002#4&2e3ccbd&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020000,Realtek High Definition Audio\Subunit\Microphone,,,,,,
Microphone,Device,Capture,Realtek High Definition Audio,,,,Active,No,0.00 dB,55.2%,-17.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","55.2%, 55.2%",{0.0.1.00000000}.{862e538b-a6d4-403b-9083-30cb52106101},Realtek High Definition Audio\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{862e538b-a6d4-403b-9083-30cb52106101},,"2 Channel, 16 bit, 48000 Hz"
Microphone,Subunit,Render,Realtek High Definition Audio,,,,,Yes,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0269&subsys_10ec129e&rev_1002#4&2e3ccbd&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020004,Realtek High Definition Audio\Subunit\Microphone,,,,,,
Microphone,Subunit,Capture,Realtek High Definition Audio,,,,,No,,22.4%,-17.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","22.4%, 22.4%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0269&subsys_10ec129e&rev_1002#4&2e3ccbd&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020000,Realtek High Definition Audio\Subunit\Microphone,,,,,,
Microphone Boost,Subunit,Capture,Realtek High Definition Audio,,,,,No,,29.4%,0.00 dB,30.00 dB,10.00 dB,1,20.00 dB,29.4%,{2}.\\?\hdaudio#func_01&ven_10ec&dev_0269&subsys_10ec129e&rev_1002#4&2e3ccbd&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020001,Realtek High Definition Audio\Subunit\Microphone Boost,,,,,,
Speakers,Device,Render,Realtek High Definition Audio,,,,Active,No,-17.82 dB,30.0%,-65.25 dB,0.00 dB,0.03 dB,2,"-17.82 dB, -17.82 dB","30.0%, 30.0%",{0.0.0.00000000}.{a3c27035-d64e-4fc9-988a-cf8460fd66d2},Realtek High Definition Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{a3c27035-d64e-4fc9-988a-cf8460fd66d2},0x3 0x3 0x3,"2 Channel, 24 bit, 48000 Hz"
Stereo Mix,Subunit,Capture,Realtek High Definition Audio,,,,,No,,22.4%,-17.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","22.4%, 22.4%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0269&subsys_10ec129e&rev_1002#4&2e3ccbd&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtstereomixtopo/00020000,Realtek High Definition Audio\Subunit\Stereo Mix,,,,,,
Stereo Mix,Device,Capture,Realtek High Definition Audio,,,,Active,No,0.00 dB,55.2%,-17.00 dB,12.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","55.2%, 55.2%",{0.0.1.00000000}.{71dda232-0509-49ca-88ef-0d2a20f1c62a},Realtek High Definition Audio\Device\Stereo Mix\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{71dda232-0509-49ca-88ef-0d2a20f1c62a},,"2 Channel, 16 bit, 48000 Hz"
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{46bb6e72-8c5e-46dc-b6ef-a1c66619e99c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{1adda7f1-c725-438a-843c-b0f048adec20}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{89fa6983-9466-49d8-88ba-7f4f6b58a9d8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{680c6671-a918-431d-91f9-5fc03d65be3d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{6db9c126-d75d-4af9-be4a-3cb43da5561e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{71dda232-0509-49ca-88ef-0d2a20f1c62a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{862e538b-a6d4-403b-9083-30cb52106101}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{d55c02f6-dae3-49e9-9d33-74e7ee18f1e4}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Render,Wireless Controller,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c34d0aa0-1442-4bb4-bfd7-061608193b4d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Wireless Controller\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c320a912-28d9-4f11-b7fb-3da27422c1ed}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Wireless Controller,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{a5e1598b-f63b-444a-83b5-407ec55cc332}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Wireless Controller\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{a8ac9cba-f120-4ef5-9038-6ad8118f1049}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{b3a8b010-c666-4a2b-98c8-210be5ec4dc3}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{d8d59b49-aa02-408a-ac1a-61c95ce7a2f0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{dabef92d-c553-420d-ac4c-fc26057364df}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{c526b39b-726b-4de8-8c67-9fa14291f239}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{ff5cb08a-0512-41e1-b37b-1319c93c2750}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{398b4d3b-ffff-4b92-b1f4-6601422c8cca}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{a3c27035-d64e-4fc9-988a-cf8460fd66d2}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Intel(R) Display Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{56877411-9f60-4991-b8af-1d86ae24c6be}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Intel(R) Display Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{5a1d89ce-b75d-4c81-b302-808b8f6894b9}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,,
